,area_name,city_name,state_name,country_name,_geoloc,popularity,elevation_gain,difficulty_rating,visitor_usage,avg_rating,num_reviews,features,activities,units,lat,lng,summer_temp,winter_temp,annual_rain,annual_snow,Region,Park Type,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,visitor_pct_change
1415,Glacier National Park,Babb,Montana,United States,"{'lat': 48.79724, 'lng': -113.66887}",49.8766,658.9776,5,3.0,5.0,1198,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'fly-fishing']",i,48.79724,-113.66887,27.7,-21.396,320.61,225.113,Intermountain  Region,National Park,2908458,3081656,1698864,3049839,2965309,3305512,2946681,2366056,2338528,2190374,2162035,1853564,2200048,2031348,1808027,2083329,1964399,1925101,2033933,1664046,1905689,1680614,1728693,1684604,1830944,1708856,1720805,1839518,2152989,2141704,2199767,2096966,1986737,1821523,1817733,1660737,1579151,1603011,1946703.0,2203847.0,1666114.0,1786523.0,1474578.0,-5.620289870121779
1547,Yellowstone National Park,Gardiner,Montana,United States,"{'lat': 44.97375, 'lng': -110.70442}",16.1935,232.8672,3,3.0,4.5,187,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking', 'cross-country-skiing', 'horseback-riding']",i,44.97375,-110.70442,28.4,-21.896,311.17,314.363,Intermountain  Region,National Park,3290242,4860242,3806306,4020288,4115000,4116524,4257177,4097710,3513484,3188030,3447729,3394326,3640185,3295187,3066580,3151343,2870295,2835651,2868317,3019375,2973677,2758526,2838233,3131381,3120830,2889513,3012171,3125285,3046145,2912193,3144405,2920537,2823572,2644442,2182113,2573194,2363756,2226159,2222027.0,2347242.0,2368897.0,2521831.0,2000269.0,-32.3029182497497
1775,Great Basin National Park,Baker,Nevada,United States,"{'lat': 39.01731, 'lng': -114.30329}",15.7517,885.7488,5,3.0,5.0,135,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",i,39.01731,-114.30329,25.0,-22.396,163.05,129.115,Pacific West  Region,National Park,142115,144875,120248,131802,153094,168028,144846,116123,107526,92893,9485,91451,8887,84974,69235,81364,78524,77741,79879,8702,85777,81712,81045,90119,80363,9076,86635,87829,88024,91915,69144,63864,65026,70259,73559,63532,40359,36343,37676.0,30335.0,32264.0,33367.0,33383.0,-1.9050905953408108
1797,Carlsbad Caverns National Park,Carlsbad,New Mexico,United States,"{'lat': 32.17565, 'lng': -104.44342}",15.1743,13.716,1,4.0,5.0,144,"['ada', 'cave', 'dogs-no', 'kids', 'paved', 'strollers', 'views']","['hiking', 'nature-trips', 'walking']",i,32.17565,-104.44342,37.4,-4.896,275.69,13.755,Intermountain  Region,National Park,390932,349244,183835,440691,465912,520026,466773,44572,397309,388566,381058,365,428524,432639,400381,40956,407367,413786,419599,457631,476259,455621,469303,514418,522076,540797,557217,588609,617087,687161,688742,67945,747016,792378,786135,7813,752552,732482,712989.0,712247.0,781963.0,771766.0,672963.0,11.936640285874631
1805,Great Smoky Mountains National Park,Bryson City,North Carolina,United States,"{'lat': 35.55689, 'lng': -83.4961}",38.1531,100.8888,1,3.0,4.5,943,"['dogs-no', 'forest', 'kids', 'paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'nature-trips', 'walking']",i,35.55689,-83.4961,22.4,-14.096,1399.33,50.547,Southeast  Region,National Park,12937633,14161548,12095720,12547743,11421200,11338893,11312786,10712674,10099276,9354695,9685829,9008830,9463538,9491437,9044010,9372253,9289215,9192477,9167046,9366845,9316420,9197697,10175812,10283598,9989395,9965075,9265667,9080420,8628174,9283848,8931690,8654459,8151769,8333553,8770781,10209841,9836306,9319290,8508390.0,8435475.0,8177869.0,8312884.0,8440953.0,-8.642522695965159
2098,Theodore Roosevelt National Park,Fairfield,North Dakota,United States,"{'lat': 46.98863, 'lng': -103.48513}",10.4755,16.764,1,,4.5,90,"['dogs-no', 'kids', 'river', 'views']","['hiking', 'nature-trips', 'walking']",i,46.98863,-103.48513,33.7,-23.792,367.09,72.912,Midwest  Region,National Park,668679,796085,551303,691658,749389,708003,75388,580033,55958,54509,640555,563407,623748,586928,516804,456588,435359,493198,474589,490295,471551,446609,431813,431311,448286,393265,436081,460699,505349,47516,475937,468926,460718,459171,413527,424846,390553,377152,361139.0,415118.0,677014.0,702873.0,595734.0,-16.00406991715709
2121,Cuyahoga Valley National Park,Hudson,Ohio,United States,"{'lat': 41.22386, 'lng': -81.51015}",29.5094,46.9392,3,3.0,4.5,709,"['cave', 'dogs-leash', 'forest', 'historic-site', 'kids', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'trail-running']",i,41.22386,-81.51015,31.2,-16.296,1036.68,91.413,Midwest  Region,National Park,2913312,2575275,2755628,2237997,2096053,2226879,2423390,2284612,2189849,2103010,2299722,2161185,2492670,2589288,2828233,2486656,2468816,2533827,3306175,2879591,3217935,3123353,3324918,3324284,3467107,3527837,3455878,3195207,3266401,2266139,1430382,1358984,1200622,1159648,1229717,1113405,1042148,1004858,1018828.0,939562.0,717815.0,5963.0,5633.0,13.126248653056468
2171,Crater Lake National Park,Crater Lake,Oregon,United States,"{'lat': 42.91, 'lng': -122.14199}",30.6183,325.8312,3,4.0,4.5,416,"['dogs-no', 'forest', 'lake', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'walking']",i,42.91,-122.14199,26.6,-13.2,398.06,382.585,Pacific West  Region,National Park,527259,647751,6705,704512,720659,711749,756344,614712,535508,523027,447251,423551,448319,446516,415686,468958,388972,44724,417066,479183,45662,457373,426883,417992,471865,451548,476957,496041,454215,381747,461668,456931,384941,430734,44343,46055,402789,390604,419829.0,379008.0,435589.0,503404.0,455143.0,-18.601592278514428
2193,Congaree National Park,Hopkins,South Carolina,United States,"{'lat': 33.82994, 'lng': -80.8225}",13.1392,3.9624,1,3.0,4.0,152,"['dogs-leash', 'forest', 'lake', 'kids', 'river', 'views', 'wildlife']","['birding', 'nature-trips', 'walking', 'canoeing']",i,33.82994,-80.8225,35.9,-1.696,1125.75,2.24,Southeast  Region,National Park,204522,215181,119306,159445,145929,159595,143843,87513,120122,12034,109685,120166,121208,12297,104913,115524,134045,84301,126247,107114,10162,119738,95619,82223,93725,70716,62614,67949,67756,54669,40018,30975,23223,25445,26257,20312,16508,12332,,,,,,-4.953504259205041
2200,Badlands National Park,Interior,South Dakota,United States,"{'lat': 43.76031, 'lng': -101.92808}",24.4547,39.9288,3,2.0,4.5,419,"['cave', 'dogs-no', 'kids', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",i,43.76031,-101.92808,35.7,-20.096,371.66,87.535,Midwest  Region,National Park,1006809,1224226,916932,970998,1008942,1054325,996263,989354,868094,892372,883406,870741,977778,933918,845734,886654,840118,909146,93603,871034,908898,955469,1105824,950453,1021049,970696,1024705,1075569,1130459,1179458,1205297,1518396,1326475,1237956,1110040,1174398,1025630,950242,1113675.0,1026981.0,1030484.0,1175952.0,952652.0,-17.759547665218676
2210,Wind Cave National Park,Custer,South Dakota,United States,"{'lat': 43.62278, 'lng': -103.48582}",9.5257,72.8472,3,1.0,4.5,74,"['dogs-no', 'kids', 'views', 'wild-flowers']","['hiking', 'nature-trips', 'walking']",i,43.62278,-103.48582,32.3,-19.6,516.43,126.63,Midwest  Region,National Park,607418,709001,448405,61535,656397,619924,617377,612198,547022,516142,529083,538394,577141,587868,573433,603158,591049,612478,593877,874167,810298,650357,668507,761717,849974,832033,781171,805688,871061,537075,660296,597057,586464,561758,578016,56372,483334,477585,536022.0,503739.0,467392.0,503424.0,473061.0,-14.327624361601746
2220,Guadalupe Mountains National Park,Salt Flat,Texas,United States,"{'lat': 31.89666, 'lng': -104.82815}",31.1233,873.8616,5,3.0,5.0,733,"['dogs-no', 'forest', 'views', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,31.89666,-104.82815,34.1,-4.8,219.85,10.584,Intermountain  Region,National Park,219987,243291,151256,188833,172347,225257,181839,169535,166868,14567,15936,152546,19221,198882,163709,16511,174157,170383,182351,181357,202911,222307,198762,219591,227924,23198,223485,208972,20352,201054,17512,200398,19289,168872,17891,156344,163313,147758,151862.0,142736.0,14062.0,142641.0,113825.0,-9.578652724515086
